species_id,scientific_name,gbif_accepted_before_dedupe,inat_accepted_before_dedupe,final_unique_records,records_eligible_for_waterway_direction,fine_scale_data_gate
acacia_auriculiformis,Acacia auriculiformis,120,0,120,0,PASS
acacia_mangium,Acacia mangium,174,0,174,0,PASS
arachis_pintoi,Arachis pintoi,21,0,21,0,PASS
asclepias_curassavica,Asclepias curassavica,43,0,43,0,PASS
bidens_pilosa,Bidens pilosa,74,0,74,37,PASS
calopogonium_mucunoides,Calopogonium mucunoides,31,0,31,0,PASS
cecropia_peltata,Cecropia peltata,0,0,0,0,NO_LOCAL_POINTS
chromolaena_odorata,Chromolaena odorata,133,0,133,85,PASS
cleome_rutidosperma,Cleome rutidosperma,392,0,392,0,PASS
cynodon_dactylon,Cynodon dactylon,31,0,31,15,PASS
cyperus_rotundus,Cyperus rotundus,7,6,11,4,PASS
eichhornia_crassipes,Eichhornia crassipes,179,0,179,134,PASS
eleusine_indica,Eleusine indica,75,0,75,0,PASS
impatiens_balsamina,Impatiens balsamina,43,0,43,0,PASS
leucaena_leucocephala,Leucaena leucocephala,175,0,175,116,PASS
limnocharis_flava,Limnocharis flava,65,0,65,25,PASS
megathyrsus_maximus,Megathyrsus maximus,16,0,16,0,PASS
mikania_micrantha,Mikania micrantha,145,0,145,83,PASS
mimosa_diplotricha,Mimosa diplotricha,27,0,27,12,PASS
mimosa_pigra,Mimosa pigra,35,0,35,18,PASS
oxalis_corniculata,Oxalis corniculata,46,0,46,0,PASS
parthenium_hysterophorus,Parthenium hysterophorus,3,8,8,5,PASS
paspalum_vaginatum,Paspalum vaginatum,2,0,2,0,PASS
pennisetum_polystachyum,Pennisetum polystachyum,16,0,16,0,PASS
psidium_guajava,Psidium guajava,98,0,98,0,PASS
rottboellia_cochinchinensis,Rottboellia cochinchinensis,7,4,10,2,PASS
ruellia_blechum,Ruellia blechum,0,0,0,0,NO_LOCAL_POINTS
salvinia_molesta,Salvinia molesta,17,0,17,10,PASS
sida_acuta,Sida acuta,16,0,16,0,PASS
striga_asiatica,Striga asiatica,3,12,12,0,PASS
synedrella_nodiflora,Synedrella nodiflora,65,0,65,27,PASS
urochloa_mutica,Urochloa mutica,8,1,9,1,PASS
