species_id,scientific_name,source,coverage_level,coverage_value,source_record_or_page,source_url,allowed_product_use
acacia_auriculiformis,Acacia auriculiformis,MyBIS,state,"Perak|Selangor|Terengganu",SSN 08793,https://www.mybis.gov.my/sp/08793,"Show as coarse Malaysian context only; do not create a map point"
acacia_mangium,Acacia mangium,Malaysia Department of Agriculture,region,"Peninsular Malaysia|Sabah|Sarawak",page 35,https://www.doa.gov.my/doa/resources/aktiviti_sumber/sumber_awam/penerbitan/buku/malaysia_factsheet_invasive_alien_species_agricultural_forestry_sector_2025.pdf,"Show as coarse Malaysian context only; do not create a map point"
arachis_pintoi,Arachis pintoi,MyBIS,state,Federal Territory of Putrajaya,SSN 31095,https://www.mybis.gov.my/sp/31095,"Show as coarse Malaysian context only; do not create a map point"
cecropia_peltata,Cecropia peltata,GRIIS Malaysia,country,Malaysia,GRIIS record 91557,https://doi.org/10.15468/j9xkz3,"Show national presence only; display No qualifying local records when appropriate"
cleome_rutidosperma,Cleome rutidosperma,MyBIS,state,Federal Territory of Kuala Lumpur,SSN 33864,https://www.mybis.gov.my/sp/33864,"Show as coarse Malaysian context only; do not create a map point"
cyperus_rotundus,Cyperus rotundus,GRIIS Malaysia,country,Malaysia,GRIIS record 91613,https://doi.org/10.15468/j9xkz3,"Show national presence only; do not create a map point"
eleusine_indica,Eleusine indica,MyBIS,state,"Johor|Pahang|Selangor|Federal Territory of Putrajaya",SSN 17187,https://www.mybis.gov.my/sp/17187,"Show as coarse Malaysian context only; do not create a map point"
impatiens_balsamina,Impatiens balsamina,MyBIS,state,"Selangor|Federal Territory of Putrajaya",SSN 55581,https://www.mybis.gov.my/sp/55581,"Show as coarse Malaysian context only; do not create a map point"
mimosa_diplotricha,Mimosa diplotricha,MyBIS,state,Pahang,SSN 10611,https://www.mybis.gov.my/sp/10611,"Show as coarse Malaysian context only; do not create a map point"
parthenium_hysterophorus,Parthenium hysterophorus,Malaysia Department of Agriculture,region,"Peninsular Malaysia|Sabah",page 43,https://www.doa.gov.my/doa/resources/aktiviti_sumber/sumber_awam/penerbitan/buku/malaysia_factsheet_invasive_alien_species_agricultural_forestry_sector_2025.pdf,"Show as coarse Malaysian context only; do not create a map point"
paspalum_vaginatum,Paspalum vaginatum,GRIIS Malaysia,country,Malaysia,GRIIS record 91738,https://doi.org/10.15468/j9xkz3,"Show national presence only; display No qualifying local records when appropriate"
rottboellia_cochinchinensis,Rottboellia cochinchinensis,Malaysia Department of Agriculture,region,"Peninsular Malaysia|Sabah|Sarawak",page 45,https://www.doa.gov.my/doa/resources/aktiviti_sumber/sumber_awam/penerbitan/buku/malaysia_factsheet_invasive_alien_species_agricultural_forestry_sector_2025.pdf,"Show as coarse Malaysian context only; do not create a map point"
ruellia_blechum,Ruellia blechum,MyBIS,state,"Johor|Pahang|Selangor|Federal Territory of Kuala Lumpur",SSN 54281,https://www.mybis.gov.my/sp/54281,"Show as coarse Malaysian context only; do not create a map point"
striga_asiatica,Striga asiatica,GRIIS Malaysia,country,Malaysia,GRIIS record 91822,https://doi.org/10.15468/j9xkz3,"Show national presence only; do not create a map point"
synedrella_nodiflora,Synedrella nodiflora,MyBIS,state,Johor,SSN 26489,https://www.mybis.gov.my/sp/26489,"Show as coarse Malaysian context only; do not create a map point"
urochloa_mutica,Urochloa mutica,GRIIS Malaysia,country,Malaysia,GRIIS record 91853,https://doi.org/10.15468/j9xkz3,"Show national presence only; do not create a map point"
