species_id,scientific_name,spread_mechanisms,primary_mechanism,waterway_direction_eligible,waterway_evidence_type,evidence_strength,source_title,source_organisation,source_url,evidence_summary,reviewed_at
acacia_auriculiformis,Acacia auriculiformis,BALLISTIC|ANIMAL,ANIMAL,false,none,strong,FloraFaunaWeb - Acacia auriculiformis,National Parks Board Singapore,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2693,"The species profile records explosive dehiscence and fauna as dispersal modes.",2026-09-10
acacia_mangium,Acacia mangium,ANIMAL,ANIMAL,false,none,strong,Acacia mangium Willd: benefits and threats associated with its increasing use around the world,Forest Ecosystems,https://link.springer.com/article/10.1186/s40663-019-0159-1,"The open-access review identifies long-distance seed dispersal by birds as a key life-history trait.",2026-09-10
arachis_pintoi,Arachis pintoi,WATER_RUNOFF|HUMAN_PLANTING,WATER_RUNOFF,false,erosion_not_stream_network,moderate,Arachis pintoi,Tropical Forages,https://tropicalforages.info/text/entities/arachis_pintoi.htm,"Seeds develop underground; the profile says natural dissemination is associated with water erosion and the plant is also deliberately established as forage or ground cover.",2026-09-10
asclepias_curassavica,Asclepias curassavica,WIND|HUMAN_PLANTING,WIND,false,none,strong,Tropical milkweed pest rating proposal,California Department of Food and Agriculture,https://blogs.cdfa.ca.gov/Section3162/wp-content/uploads/2024/06/Asclepias-curassavica.pdf,"Light seeds with coma hairs are adapted for wind dispersal; ornamental planting is also a pathway.",2026-09-10
bidens_pilosa,Bidens pilosa,ANIMAL_EXTERNAL|WIND|WATER|HUMAN_CONTAMINATED_MATERIAL,ANIMAL_EXTERNAL,true,flowing_water_or_runoff,strong,Bidens pilosa (Blackjack),BioNET-EAFRINET / Lucidcentral,https://keys.lucidcentral.org/keys/v3/eafrinet/weeds/key/weeds/Media/Html/Bidens_pilosa_%28Blackjack%29.htm,"Barbed seeds attach to fur and clothing; the profile also records wind, water and contaminated material as pathways.",2026-09-10
calopogonium_mucunoides,Calopogonium mucunoides,SEED|HUMAN_PLANTING,SEED,false,none,moderate,Calopogonium mucunoides,Tropical Forages,https://tropicalforages.info/text/entities/calopogonium_mucunoides.htm,"The species sets seed freely and spreads naturally under favourable conditions; deliberate sowing is a documented introduction pathway. The source does not establish a directional natural vector.",2026-09-10
cecropia_peltata,Cecropia peltata,ANIMAL_INGESTION,ANIMAL_INGESTION,false,none,strong,Cecropia peltata,Environmental Leadership and Training Initiative Yale,https://restoration.elti.yale.edu/species/cecropia-peltata,"The species account identifies birds and bats as seed dispersers.",2026-09-10
chromolaena_odorata,Chromolaena odorata,WIND|WATER|ANIMAL_EXTERNAL|HUMAN_VEHICLE_SOIL,WIND,true,flowing_water_or_runoff,strong,Chromolaena odorata,Weeds of Australia / Lucidcentral,https://keyserver.lucidcentral.org/weeds/data/media/Html/chromolaena_odorata.htm,"Wind is the main pathway; water, animals, clothing, vehicles, machinery and contaminated materials also move seeds or plant material.",2026-09-10
cleome_rutidosperma,Cleome rutidosperma,BALLISTIC|ANIMAL|HUMAN_SOIL,BALLISTIC,false,none,strong,Cleome rutidosperma DC. - a new record to the Melghat flora,IJRBAT,https://www.ijrbat.in/upload_papers/280420170459437.pdf,"The paper describes explosive pods, short-distance ant dispersal and longer-distance movement in hay, soil, vehicles and footwear.",2026-09-10
cynodon_dactylon,Cynodon dactylon,VEGETATIVE|WIND|WATER|ANIMAL|HUMAN_VEHICLE_SOIL,VEGETATIVE,true,flowing_water_or_runoff,strong,Bermudagrass,CDFW Encycloweedia / California Department of Food and Agriculture,https://blogs.cdfa.ca.gov/Section3162/?p=274,"The profile records rhizomes and stolons as local spread, with seeds or fragments moved by wind, water, animals, vehicles and soil movement.",2026-09-10
cyperus_rotundus,Cyperus rotundus,VEGETATIVE|WATER|HUMAN_SOIL,VEGETATIVE,true,flood_transport,strong,Purple nutsedge pest rating proposal,California Department of Food and Agriculture,https://blogs.cdfa.ca.gov/Section3162/wp-content/uploads/2024/09/Cyperus-rotundus.pdf,"Tubers and rhizomes are the main spread units; cultivation, moved soil and flooding can transport them.",2026-09-10
eichhornia_crassipes,Eichhornia crassipes,WATER|VEGETATIVE|WIND|HUMAN_AQUARIUM,WATER,true,floating_aquatic_propagules,strong,Eichhornia crassipes,Weeds of Australia / Lucidcentral,https://keyserver.lucidcentral.org/weeds/data/media/Html/eichhornia_crassipes.htm,"Seeds and stem fragments are dispersed by water; floating plants also move with currents and wind, and dumping from gardens or aquaria is a human pathway.",2026-09-10
eleusine_indica,Eleusine indica,WIND|ANIMAL_EXTERNAL|HUMAN_MACHINERY,WIND,false,none,strong,Eleusine indica biological control review,Australian Centre for International Agricultural Research,https://www.aciar.gov.au/sites/default/files/legacy/node/2160/mn26_pdf_63819.pdf,"The review states that the small seeds move by wind, mud on animals' feet and machinery tread.",2026-09-10
impatiens_balsamina,Impatiens balsamina,BALLISTIC,BALLISTIC,false,none,strong,Impatiens balsamina notes,University of Wisconsin-Eau Claire,https://www.chem.uwec.edu/putnam/notes-Impatiens-balsamina.html,"The fruit opens explosively and ejects seeds away from the parent plant.",2026-09-10
leucaena_leucocephala,Leucaena leucocephala,ANIMAL_INGESTION|WATER|WIND,ANIMAL_INGESTION,true,floating_pods_or_seed,strong,Leucaena leucocephala,Weeds of Australia / Lucidcentral,https://keyserver.lucidcentral.org/weeds/data/media/Html/leucaena_leucocephala.htm,"Seeds are spread by animals; light pods may move by wind and can float on water.",2026-09-10
limnocharis_flava,Limnocharis flava,WATER|VEGETATIVE|HUMAN_AQUARIUM,WATER,true,aquatic_seed_or_shoot,strong,Limnocharis flava,Weeds of Australia / Lucidcentral,https://keyserver.lucidcentral.org/weeds/data/media/Html/limnocharis_flava.htm,"Seeds and vegetative shoots are usually spread by water; discarded garden or aquarium material is another pathway.",2026-09-10
megathyrsus_maximus,Megathyrsus maximus,SEED|VEGETATIVE|HUMAN_PLANTING,SEED,false,watercourse_occurrence_not_transport,moderate,Megathyrsus maximus,Tropical Forages,https://tropicalforages.info/text/entities/megathyrsus_maximus.htm,"The grass sheds seed and can establish from rooted tillers or cuttings; it has also been deliberately introduced as forage. Occurrence along watercourses alone is not treated as proof of downstream dispersal.",2026-09-10
mikania_micrantha,Mikania micrantha,WIND|ANIMAL_EXTERNAL|WATER|VEGETATIVE|HUMAN,WIND,true,flood_transport,strong,Mikania micrantha,Weeds of Australia / Lucidcentral,https://keyserver.lucidcentral.org/weeds/data/media/Html/mikania_micrantha.htm,"Seeds move mainly by wind and can attach to animals or clothing; floods, cultivation and garden waste can move stem fragments.",2026-09-10
mimosa_diplotricha,Mimosa diplotricha,WATER|ANIMAL_EXTERNAL|HUMAN_VEHICLE_SOIL,WATER,true,floating_fruit_segments,strong,Mimosa diplotricha var. diplotricha,Weeds of Australia / Lucidcentral,https://keyserver.lucidcentral.org/weeds/data/media/Html/mimosa_diplotricha_var._diplotricha.htm,"Prickly fruit segments can float, attach to animals or clothing, and travel with machinery, soil and agricultural produce.",2026-09-10
mimosa_pigra,Mimosa pigra,WATER|ANIMAL_INGESTION|ANIMAL_EXTERNAL|HUMAN_VEHICLE,WATER,true,floating_seed_or_mud,strong,Mimosa pigra,Weeds of Australia / Lucidcentral,https://keyserver.lucidcentral.org/weeds/data/media/Html/mimosa_pigra.htm,"Seeds and pods spread in water and mud, after animal ingestion, and by attachment to animals, vehicles or clothing.",2026-09-10
